회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
마이크로컨텍솔,반도체 관련장비 및 부품,반도체 부품,18 ,-1 ,9 ,A098120
파미셀,제약 및 바이오,바이오,19 ,7 ,7 ,A005690
엘앤씨바이오,의료기기 및 용품,의료용품,19 ,56 ,19 ,A290650
키다리스튜디오,IT서비스,소프트웨어,19 ,-6 ,5 ,A020120
에이프로젠제약,제약 및 바이오,제약,19 ,-9 ,45 ,A003060
대아티아이,운송 및 물류,운송인프라,19 ,26 ,14 ,A045390
한독,제약 및 바이오,제약,19 ,123 ,143 ,A002390
하이비젼시스템,IT 장비 및 소재,카메라모듈,19 ,23 ,55 ,A126700
남화산업,레저산업,레저,19 ,21 ,18 ,A111710
푸른저축은행,금융,은행,19 ,55 ,61 ,A007330
멀티캠퍼스,일반서비스,교육,19 ,51 ,30 ,A067280
케이사인,IT서비스,보안서비스,19 ,10 ,17 ,A192250
노루홀딩스,지주사,지주사,19 ,70 ,45 ,A000320
SBS콘텐츠허브,미디어 및 엔터,미디어,19 ,6 ,40 ,A046140
한솔홈데코,건설 및 건축자재,목재,19 ,-14 ,-20 ,A025750
남화토건,건설 및 건축자재,중견건설사,19 ,18 ,17 ,A091590
대양금속,철강 및 비철강,스테인리스,19 ,-18 ,10 ,A009190
엠플러스,IT 장비 및 소재,2차전지,19 ,24 ,32 ,A259630
이스트소프트,IT서비스,소프트웨어,19 ,41 ,9 ,A047560
디에이치피코리아,제약 및 바이오,제약,19 ,30 ,24 ,A131030
에프엔에스테크,디스플레이 장비 및 부품,디스플레이 장비,19 ,-5 ,67 ,A083500
삼화왕관,종이 및 용기,용기 및 포장재,19 ,17 ,-46 ,A004450
엔피디,IT 장비 및 소재,스마트폰 부품,19 ,-75 ,11 ,A198080
이노인스트루먼트,통신,통신장비,19 ,23 ,20 ,A215790
현대에이치티,건설 및 건축자재,홈네트워크,19 ,26 ,18 ,A039010
대유에이피,자동차 및 관련부품,기타 자동차부품,19 ,-3 ,38 ,A290120
상상인인더스트리,조선,조선기자재,19 ,5 ,-12 ,A101000
쎄니트,미디어 및 엔터,영화,19 ,7 ,-5 ,A037760
폴라리스우노,섬유 및 의류,섬유,19 ,-8 ,14 ,A114630
S&K폴리텍,IT 장비 및 소재,스마트폰 부품,19 ,-59 ,-12 ,A091340
서진오토모티브,자동차 및 관련부품,변속기부품,19 ,-61 ,-13 ,A122690
디엔에프,반도체 관련장비 및 부품,반도체 부품,20 ,34 ,58 ,A092070
한컴위드,IT서비스,보안서비스,20 ,19 ,33 ,A054920
금양,화학,기타 화학,20 ,-5 ,-29 ,A001570
티엘비,반도체 관련장비 및 부품,종합 반도체,20 ,9 ,29 ,A356860
디에스케이,디스플레이 장비 및 부품,디스플레이 장비,20 ,-93 ,-20 ,A109740
태경산업,철강 및 비철강,광물,20 ,25 ,-2 ,A015890
대정화금,화학,기타 화학,20 ,20 ,16 ,A120240
피엔케이피부임상연구센타,제약 및 바이오,바이오,20 ,10 ,17 ,A347740
코스메카코리아,가정용품,화장품,20 ,-2 ,-6 ,A241710
유니테크노,자동차 및 관련부품,기타 자동차부품,20 ,29 ,47 ,A241690
가온전선,전기 및 전자기기,케이블,20 ,14 ,10 ,A000500
비비씨,종이 및 용기,종이,20 ,15 ,28 ,A318410
구영테크,자동차 및 관련부품,기타 자동차부품,20 ,28 ,0 ,A053270
한익스프레스,운송 및 물류,육상운송,20 ,-70 ,10 ,A014130
대동전자,IT 장비 및 소재,IT 소재 및 부품,20 ,27 ,-12 ,A008110
삼진,가정용품,가전제품,20 ,-5 ,20 ,A032750
케이디켐,화학,기타 화학,20 ,9 ,27 ,A221980
대원미디어,유아동산업,유아동산업,21 ,11 ,19 ,A048910
루트로닉,의료기기 및 용품,의료기기,21 ,-140 ,38 ,A085370
오리엔탈정공,조선,조선기자재,21 ,136 ,47 ,A014940
노터스,제약 및 바이오,바이오,21 ,29 ,15 ,A278650
케어랩스,의료기기 및 용품,의료정보,21 ,-4 ,19 ,A263700
오션브릿지,반도체 관련장비 및 부품,반도체장비,21 ,63 ,7 ,A241790
덕양산업,자동차 및 관련부품,차량 내장재,21 ,-31 ,12 ,A024900
KC그린홀딩스,지주사,지주사,21 ,-309 ,-4 ,A009440
씨앤지하이테크,반도체 관련장비 및 부품,반도체장비,21 ,21 ,45 ,A264660
경남스틸,철강 및 비철강,강판,21 ,3 ,12 ,A039240
인포바인,IT서비스,공인인증서,21 ,9 ,20 ,A115310
알톤스포츠,레저산업,자전거,21 ,4 ,19 ,A123750
일지테크,자동차 및 관련부품,차체부품,21 ,-36 ,-14 ,A019540
한성기업,식음료,식료품,21 ,-12 ,-1 ,A003680
상아프론테크,IT 장비 및 소재,2차전지,22 ,-20 ,7 ,A089980
클리오,가정용품,화장품,22 ,-7 ,33 ,A237880
모다이노칩,IT 장비 및 소재,스마트폰 부품,22 ,48 ,-51 ,A080420
드림어스컴퍼니,가정용품,가전제품,22 ,-140 ,-46 ,A060570
아이씨디,디스플레이 장비 및 부품,디스플레이 장비,22 ,-71 ,213 ,A040910
금강공업,건설 및 건축자재,거푸집,22 ,-118 ,132 ,A014280
삼성공조,자동차 및 관련부품,공조부품,22 ,38 ,3 ,A006660
나라엠앤디,기계,금형,22 ,-8 ,3 ,A051490
알리코제약,제약 및 바이오,제약,22 ,-3 ,24 ,A260660
에코바이오,유틸리티,전력,22 ,6 ,37 ,A038870
오디텍,반도체 관련장비 및 부품,반도체 제조,22 ,49 ,-2 ,A080520
태양,종이 및 용기,용기 및 포장재,22 ,-2 ,9 ,A053620
금비,종이 및 용기,용기 및 포장재,22 ,28 ,-40 ,A008870
대동기어,자동차 및 관련부품,동력전달장치,22 ,11 ,1 ,A008830
나노신소재,디스플레이 장비 및 부품,디스플레이 부품,23 ,6 ,-1 ,A121600
포스코엠텍,철강 및 비철강,철강소재,23 ,13 ,23 ,A009520
조선내화,철강 및 비철강,광물,23 ,-48 ,31 ,A000480
삼익THK,기계,자동화기기,23 ,7 ,1 ,A004380
비즈니스온,IT서비스,소프트웨어,23 ,14 ,11 ,A138580
코세스,반도체 관련장비 및 부품,반도체장비,23 ,-21 ,67 ,A089890
엠아이텍,의료기기 및 용품,의료용품,23 ,15 ,12 ,A179290
브이원텍,디스플레이 장비 및 부품,디스플레이 부품,23 ,4 ,17 ,A251630
신도기연,디스플레이 장비 및 부품,디스플레이 부품,23 ,-53 ,-12 ,A290520
부국철강,철강 및 비철강,강판,23 ,1 ,7 ,A026940
동양파일,건설 및 건축자재,건축자재,23 ,-45 ,-13 ,A228340
상상인증권,금융,증권,23 ,-6 ,-17 ,A001290
심텍홀딩스,지주사,지주사,23 ,-3 ,93 ,A036710
휴스틸,철강 및 비철강,강관,23 ,123 ,-7 ,A005010
케이비아이동국실업,자동차 및 관련부품,차량 내장재,23 ,33 ,14 ,A001620
마이크로프랜드,반도체 관련장비 및 부품,반도체장비,23 ,51 ,8 ,A147760
화신정공,자동차 및 관련부품,차체부품,23 ,4 ,8 ,A126640
시너지이노베이션,자동차 및 관련부품,전장부품,24 ,-213 ,30 ,A048870
금호에이치티,자동차 및 관련부품,기타 자동차부품,24 ,-23 ,-17 ,A214330
비나텍,전기 및 전자기기,케이블,24 ,-10 ,8 ,A126340
디아이티,디스플레이 장비 및 부품,디스플레이 장비,24 ,35 ,-16 ,A110990
카프로,섬유 및 의류,섬유,24 ,-125 ,-151 ,A006380
삼아알미늄,철강 및 비철강,알루미늄,24 ,5 ,5 ,A006110
디알젬,의료기기 및 용품,의료기기,24 ,17 ,10 ,A263690
에스엔유,디스플레이 장비 및 부품,디스플레이 장비,24 ,-15 ,13 ,A080000
삼원강재,자동차 및 관련부품,스프링,24 ,15 ,24 ,A023000
에스씨디,가정용품,가전제품,24 ,24 ,19 ,A042110
정다운,식음료,식료품,24 ,-13 ,4 ,A208140
동일금속,기계,중장비 및 관련품,24 ,12 ,16 ,A109860
한국큐빅,자동차 및 관련부품,기타 자동차부품,24 ,15 ,32 ,A021650
예선테크,반도체 관련장비 및 부품,반도체 부품,24 ,-29 ,30 ,A250930
오공,화학,기타 화학,24 ,27 ,20 ,A045060
한일네트웍스,IT서비스,시스템서비스,24 ,25 ,18 ,A046110
유양디앤유,IT 장비 및 소재,파워서플라이,25 ,49 ,-12 ,A011690
서울옥션,유통,유통,25 ,-14 ,5 ,A063170
인텍플러스,반도체 관련장비 및 부품,반도체장비,25 ,40 ,20 ,A064290
에이텍,가정용품,가전제품,25 ,12 ,9 ,A045660
엘앤케이바이오,의료기기 및 용품,의료용품,25 ,-115 ,2 ,A156100
이크레더블,일반서비스,신용정보,25 ,-6 ,16 ,A092130
아남전자,가정용품,가전제품,25 ,9 ,52 ,A008700
쌍방울,섬유 및 의류,의류,25 ,-69 ,9 ,A102280
러셀,반도체 관련장비 및 부품,반도체장비,25 ,-18 ,16 ,A217500
에스텍파마,제약 및 바이오,원료의약품,25 ,16 ,23 ,A041910
조일알미늄,철강 및 비철강,알루미늄,25 ,-2 ,-9 ,A018470
고려신용정보,일반서비스,신용정보,25 ,43 ,21 ,A049720
고려제약,제약 및 바이오,제약,25 ,18 ,14 ,A014570
사조오양,식음료,식료품,25 ,24 ,92 ,A006090
메디아나,의료기기 및 용품,의료기기,25 ,-1 ,30 ,A041920
대륙제관,종이 및 용기,용기 및 포장재,25 ,46 ,30 ,A004780
애니플러스,미디어 및 엔터,미디어,25 ,0 ,-2 ,A310200
서연탑메탈,자동차 및 관련부품,기타 자동차부품,25 ,8 ,-1 ,A019770
인피니티엔티,IT서비스,소프트웨어,25 ,-472 ,5 ,A016670
성창오토텍,자동차 및 관련부품,공조부품,25 ,0 ,12 ,A080470
하이스틸,철강 및 비철강,강관,25 ,6 ,5 ,A071090
오이솔루션,통신,통신장비,26 ,39 ,45 ,A138080
어보브반도체,반도체 관련장비 및 부품,반도체 설계,26 ,-15 ,72 ,A102120
세종공업,자동차 및 관련부품,기타 자동차부품,26 ,18 ,-72 ,A033530
풍국주정,식음료,음료,26 ,16 ,34 ,A023900
진로발효,식음료,음료,26 ,-2 ,34 ,A018120
CJ씨푸드,식음료,식료품,26 ,-2 ,8 ,A011150
제노레이,의료기기 및 용품,의료기기,26 ,19 ,26 ,A122310
한국선재,철강 및 비철강,선재(와이어),26 ,-11 ,12 ,A025550
오상자이엘,IT서비스,시스템서비스,26 ,7 ,60 ,A053980
오로라,유아동산업,유아동산업,26 ,23 ,47 ,A039830
SG&G,자동차 및 관련부품,차량 시트,26 ,-43 ,27 ,A040610
한국가구,가정용품,가구,26 ,43 ,17 ,A004590
우리산업홀딩스,지주사,지주사,26 ,11 ,30 ,A072470
크리스탈신소재,화학,기타 화학,26 ,50 ,65 ,A900250
푸드웰,식음료,식료품,26 ,12 ,6 ,A005670
백금T&A,자동차 및 관련부품,전장부품,26 ,-52 ,5 ,A046310
텔콘RF제약,통신,통신장비,27 ,-451 ,144 ,A200230
아이마켓코리아,유통,유통,27 ,24 ,92 ,A122900
센트랄모텍,자동차 및 관련부품,기타 자동차부품,27 ,73 ,-3 ,A308170
대양전기공업,조선,조선기자재,27 ,38 ,36 ,A108380
프로스테믹스,가정용품,화장품,27 ,-75 ,-1 ,A203690
세이브존I&C,유통,백화점,27 ,26 ,-1 ,A067830
한미글로벌,건설 및 건축자재,중견건설사,27 ,26 ,31 ,A053690
코아시아옵틱스,IT 장비 및 소재,카메라모듈,27 ,-94 ,6 ,A196450
금강철강,철강 및 비철강,강판,27 ,-4 ,9 ,A053260
HRS,화학,기타 화학,27 ,32 ,26 ,A036640
피씨디렉트,유통,유통,27 ,26 ,10 ,A051380
한국콜마홀딩스,지주사,지주사,28 ,731 ,110 ,A024720
웅진씽크빅,일반서비스,교육,28 ,-56 ,95 ,A095720
KCTC,운송 및 물류,운송인프라,28 ,60 ,40 ,A009070
에이치엘사이언스,제약 및 바이오,제약,28 ,48 ,54 ,A239610
퓨쳐켐,제약 및 바이오,제약,28 ,-145 ,-23 ,A220100
쎌바이오텍,제약 및 바이오,바이오,28 ,-14 ,11 ,A049960
영풍제지,종이 및 용기,종이,28 ,20 ,9 ,A006740
엠투아이,IT 장비 및 소재,스마트폰 부품,28 ,15 ,26 ,A347890
유니크,자동차 및 관련부품,변속기부품,28 ,-10 ,19 ,A011320
에이치시티,전기 및 전자기기,전자기기,28 ,33 ,27 ,A072990
피제이메탈,철강 및 비철강,철강소재,28 ,23 ,20 ,A128660
SUN&L,건설 및 건축자재,목재,28 ,-125 ,-31 ,A002820
제이엠티,디스플레이 장비 및 부품,디스플레이 부품,28 ,33 ,14 ,A094970
남해화학,화학,비료 및 농약,29 ,-28 ,77 ,A025860
에스티아이,반도체 관련장비 및 부품,반도체장비,29 ,-10 ,33 ,A039440
코윈테크,기계,기계,29 ,4 ,-5 ,A282880
미원화학,화학,계면활성제,29 ,14 ,37 ,A134380
이엠넷,미디어 및 엔터,광고,29 ,38 ,14 ,A123570
광전자,IT 장비 및 소재,IT 소재 및 부품,29 ,-161 ,-16 ,A017900
경남제약,제약 및 바이오,제약,29 ,-41 ,-36 ,A053950
사조씨푸드,식음료,식료품,29 ,16 ,49 ,A014710
빅솔론,전기 및 전자기기,전기장비,29 ,6 ,7 ,A093190
한창,유통,유통,29 ,-108 ,3 ,A005110
슈프리마에이치큐,전기 및 전자기기,보안장비,29 ,10 ,18 ,A094840
상신브레이크,자동차 및 관련부품,제동장치,29 ,48 ,20 ,A041650
소프트센,IT서비스,시스템서비스,29 ,21 ,-11 ,A032680
루멘스,전기 및 전자기기,LED,29 ,-243 ,35 ,A038060
아이엠텍,IT 장비 및 소재,스마트폰 부품,29 ,-299 ,15 ,A226350
코리아센터,유통,전자상거래,30 ,67 ,24 ,A290510
넷게임즈,미디어 및 엔터,게임,30 ,89 ,82 ,A225570
NE능률,일반서비스,교육,30 ,71 ,-3 ,A053290
LS전선아시아,전기 및 전자기기,케이블,30 ,15 ,24 ,A229640
그린케미칼,화학,기타 화학,30 ,22 ,27 ,A083420
서한,건설 및 건축자재,중견건설사,30 ,26 ,101 ,A011370
덕성,섬유 및 의류,피혁(가죽),30 ,-1 ,19 ,A004830
이녹스,IT 장비 및 소재,IT 소재 및 부품,30 ,5 ,70 ,A088390
GS글로벌,일반서비스,무역,30 ,-989 ,26 ,A001250
가비아,IT서비스,인터넷서비스,30 ,47 ,17 ,A079940
한국내화,철강 및 비철강,광물,30 ,14 ,5 ,A010040
에스와이,건설 및 건축자재,건축자재,30 ,-133 ,-40 ,A109610
삼호개발,건설 및 건축자재,중견건설사,30 ,81 ,33 ,A010960
젬백스링크,IT서비스,시스템서비스,30 ,32 ,26 ,A064800
아이디스홀딩스,지주사,지주사,30 ,-47 ,4 ,A054800
웰크론,섬유 및 의류,섬유,30 ,76 ,18 ,A065950
인팩,자동차 및 관련부품,기타 자동차부품,30 ,21 ,35 ,A023810
동일고무벨트,자동차 및 관련부품,기타 자동차부품,30 ,-10 ,-5 ,A163560
케이엠,반도체 관련장비 및 부품,클린룸,30 ,7 ,99 ,A083550
아시아종묘,식음료,식료품,30 ,-18 ,-20 ,A154030
한국전자홀딩스,지주사,지주사,30 ,-56 ,14 ,A006200
쿠콘,IT서비스,시스템서비스,31 ,21 ,85 ,A294570
휴메딕스,제약 및 바이오,제약,31 ,68 ,33 ,A200670
이지바이오,식음료,식료품,31 ,29 ,47 ,A353810
디케이티,IT 장비 및 소재,스마트폰 부품,31 ,15 ,37 ,A290550
라이온켐텍,건설 및 건축자재,건축자재,31 ,-39 ,54 ,A171120
미투온,미디어 및 엔터,게임,31 ,5 ,40 ,A201490
나이스디앤비,일반서비스,신용정보,31 ,5 ,18 ,A130580
엑시콘,반도체 관련장비 및 부품,반도체장비,31 ,39 ,77 ,A092870
씨엠에스에듀,일반서비스,교육,31 ,15 ,1 ,A225330
원익큐브,화학,기타 화학,31 ,19 ,7 ,A014190
큐로,기계,플랜트설비,31 ,-36 ,8 ,A015590
조광ILI,기계,피팅 및 밸브,31 ,-74 ,13 ,A044060
세하,종이 및 용기,용기 및 포장재,31 ,7 ,51 ,A027970
정상제이엘에스,일반서비스,교육,31 ,14 ,27 ,A040420
성도이엔지,반도체 관련장비 및 부품,클린룸,31 ,696 ,10 ,A037350
유니트론텍,반도체 관련장비 및 부품,반도체 유통,31 ,-30 ,1 ,A142210
에스폴리텍,IT 장비 및 소재,IT 소재 및 부품,31 ,-29 ,37 ,A050760
CS홀딩스,지주사,지주사,31 ,-6 ,11 ,A000590
SJM홀딩스,지주사,지주사,31 ,-2 ,11 ,A025530
대웅,제약 및 바이오,제약,32 ,568 ,153 ,A003090
넥스틴,반도체 관련장비 및 부품,종합 반도체,32 ,60 ,66 ,A348210
YG PLUS,가정용품,화장품,32 ,-33 ,3 ,A037270
인크로스,미디어 및 엔터,광고,32 ,37 ,41 ,A216050
신세계푸드,식음료,식료품,32 ,-193 ,15 ,A031440
동국S&C,에너지,풍력,32 ,-37 ,-14 ,A100130
현대바이오랜드,가정용품,화장품,32 ,-158 ,-7 ,A052260
해태제과식품,식음료,식료품,32 ,41 ,98 ,A101530
나노엔텍,의료기기 및 용품,의료기기,32 ,9 ,2 ,A039860
선데이토즈,미디어 및 엔터,게임,32 ,10 ,30 ,A123420
앱코,가정용품,가전제품,32 ,0 ,0 ,A129890
우리산업,자동차 및 관련부품,공조부품,32 ,19 ,19 ,A215360
태경비케이,철강 및 비철강,광물,32 ,15 ,3 ,A014580
덕우전자,IT 장비 및 소재,카메라모듈,32 ,-8 ,62 ,A263600
화승알앤에이,자동차 및 관련부품,기타 자동차부품,32 ,0 ,0 ,A378850
파버나인,철강 및 비철강,알루미늄,32 ,1 ,32 ,A177830
한국컴퓨터,디스플레이 장비 및 부품,디스플레이 부품,32 ,86 ,8 ,A054040
아세아텍,기계,농업용기계,32 ,0 ,-9 ,A050860
레드로버,미디어 및 엔터,미디어,32 ,7 ,8 ,A060300
알서포트,IT서비스,소프트웨어,33 ,27 ,37 ,A131370
알루코,철강 및 비철강,알루미늄,33 ,-259 ,99 ,A001780
모토닉,자동차 및 관련부품,엔진부품,33 ,61 ,28 ,A009680
레이크머티리얼즈,화학,종합 화학,33 ,28 ,8 ,A281740
한솔테크닉스,IT 장비 및 소재,스마트폰 부품,33 ,26 ,49 ,A004710
효성ITX,IT서비스,컨택센터,33 ,41 ,33 ,A094280
에이플러스에셋,금융,손해보험,33 ,35 ,51 ,A244920
아바코,디스플레이 장비 및 부품,디스플레이 장비,33 ,-30 ,68 ,A083930
기신정기,기계,금형,33 ,36 ,10 ,A092440
에스텍,전기 및 전자기기,전자기기,33 ,32 ,67 ,A069510
엠에스씨,식음료,식료품,33 ,13 ,22 ,A009780
코리아에셋투자증권,금융,증권,33 ,20 ,41 ,A190650
세중,레저산업,여행,33 ,-14 ,4 ,A039310
미래테크놀로지,IT서비스,보안서비스,33 ,16 ,4 ,A213090
원일특강,철강 및 비철강,제강,33 ,-16 ,4 ,A012620
지에스이,유틸리티,도시가스,33 ,19 ,-9 ,A053050
율촌화학,종이 및 용기,용기 및 포장재,34 ,44 ,27 ,A008730
KH바텍,IT 장비 및 소재,스마트폰 부품,34 ,-155 ,-6 ,A060720
신한알파리츠,일반서비스,부동산,34 ,24 ,9 ,A293940
디와이피엔에프,기계,기계,34 ,87 ,61 ,A104460
태광,기계,피팅 및 밸브,34 ,-77 ,3 ,A023160
세운메디칼,의료기기 및 용품,의료용품,34 ,9 ,31 ,A100700
대유에이텍,자동차 및 관련부품,차량 시트,34 ,-42 ,98 ,A002880
남광토건,건설 및 건축자재,중견건설사,34 ,72 ,25 ,A001260
하츠,건설 및 건축자재,건축자재,34 ,3 ,25 ,A066130
에코플라스틱,자동차 및 관련부품,차량 내장재,34 ,-7 ,12 ,A038110
이글루시큐리티,IT서비스,보안서비스,34 ,56 ,-18 ,A067920
동양에스텍,철강 및 비철강,강판,34 ,35 ,31 ,A060380
에스앤에스텍,디스플레이 장비 및 부품,디스플레이 부품,35 ,21 ,18 ,A101490
다원시스,기계,전력기자재,35 ,54 ,-20 ,A068240
디앤씨미디어,미디어 및 엔터,미디어,35 ,31 ,30 ,A263720
웹케시,IT서비스,소프트웨어,35 ,84 ,35 ,A053580
이리츠코크렙,일반서비스,부동산,35 ,34 ,34 ,A088260
티앤엘,의료기기 및 용품,의료기기,35 ,0 ,0 ,A340570
백광산업,화학,기타 화학,35 ,28 ,8 ,A001340
미스터블루,미디어 및 엔터,미디어,35 ,9 ,60 ,A207760
한농화성,화학,계면활성제,35 ,43 ,17 ,A011500
삼화전기,IT 장비 및 소재,콘덴서,35 ,22 ,13 ,A009470
에이티넘인베스트,금융,기타 금융,35 ,86 ,35 ,A021080
덴티스,의료기기 및 용품,의료기기,35 ,-85 ,-20 ,A261200
동아타이어,자동차 및 관련부품,타이어,35 ,40 ,41 ,A282690
국순당,식음료,음료,35 ,103 ,43 ,A043650
이건홀딩스,지주사,지주사,35 ,1 ,13 ,A039020
인천도시가스,유틸리티,도시가스,35 ,74 ,1 ,A034590
경동인베스트,지주사,지주사,35 ,81 ,1 ,A012320
우리조명,전기 및 전자기기,LED,35 ,-19 ,34 ,A037400
동일기연,IT 장비 및 소재,IT 소재 및 부품,35 ,-2 ,11 ,A032960
락앤락,종이 및 용기,용기 및 포장재,36 ,32 ,56 ,A115390
세틀뱅크,IT서비스,시스템서비스,36 ,32 ,33 ,A234340
경동제약,제약 및 바이오,제약,36 ,11 ,32 ,A011040
와이엠티,IT 장비 및 소재,PCB,36 ,18 ,47 ,A251370
세원이앤씨,제약 및 바이오,바이오,36 ,-256 ,-35 ,A091090
한창제지,종이 및 용기,종이,36 ,18 ,39 ,A009460
세아특수강,철강 및 비철강,선재(와이어),36 ,20 ,-26 ,A019440
대유,화학,비료 및 농약,36 ,-22 ,8 ,A290380
인터지스,운송 및 물류,운송인프라,36 ,54 ,2 ,A129260
컬러레이,지주사,지주사,36 ,60 ,39 ,A900310
지니뮤직,미디어 및 엔터,미디어,37 ,18 ,34 ,A043610
원익피앤이,IT 장비 및 소재,2차전지,37 ,78 ,51 ,A131390
와이지-원,기계,공작기계,37 ,-120 ,-103 ,A019210
인지컨트롤스,자동차 및 관련부품,엔진부품,37 ,-54 ,35 ,A023800
제일전기공업,전기 및 전자기기,케이블,37 ,0 ,0 ,A199820
피제이전자,의료기기 및 용품,의료기기,37 ,17 ,7 ,A006140
두올,자동차 및 관련부품,차량 시트,37 ,10 ,35 ,A016740
한솔로지스틱스,운송 및 물류,육상운송,37 ,11 ,37 ,A009180
우리이앤엘,디스플레이 장비 및 부품,디스플레이 부품,37 ,-47 ,11 ,A153490
넥슨지티,미디어 및 엔터,게임,38 ,6 ,0 ,A041140
화승인더,섬유 및 의류,신발,38 ,201 ,18 ,A006060
인스코비,전기 및 전자기기,계측기,38 ,11 ,17 ,A006490
삼양패키징,종이 및 용기,용기 및 포장재,38 ,-20 ,181 ,A272550
인피니트헬스케어,의료기기 및 용품,의료서비스,38 ,32 ,1 ,A071200
일진파워,기계,플랜트설비,38 ,15 ,31 ,A094820
메가스터디,일반서비스,교육,38 ,53 ,52 ,A072870
극동유화,석유 및 가스,윤활유,38 ,-17 ,18 ,A014530
서원인텍,IT 장비 및 소재,스마트폰 부품,38 ,32 ,42 ,A093920
창해에탄올,식음료,음료,38 ,29 ,40 ,A004650
이라이콤,IT 장비 및 소재,스마트폰 부품,38 ,-89 ,82 ,A041520
대동스틸,철강 및 비철강,강판,38 ,8 ,6 ,A048470
깨끗한나라,종이 및 용기,종이,39 ,71 ,60 ,A004540
삼일씨엔에스,건설 및 건축자재,건축자재,39 ,-3 ,-20 ,A004440
계양전기,기계,전동공구,39 ,-17 ,40 ,A012200
인지디스플레,디스플레이 장비 및 부품,디스플레이 부품,39 ,27 ,60 ,A037330
현대공업,자동차 및 관련부품,차량 시트,39 ,35 ,38 ,A170030
경창산업,자동차 및 관련부품,변속기부품,39 ,94 ,13 ,A024910
한일철강,철강 및 비철강,강판,39 ,54 ,-47 ,A002220
스타플렉스,미디어 및 엔터,광고,39 ,-52 ,-4 ,A115570
JW중외제약,제약 및 바이오,제약,40 ,-69 ,30 ,A001060
디피씨,IT 장비 및 소재,파워서플라이,40 ,47 ,61 ,A026890
대한제당,식음료,식료품,40 ,87 ,94 ,A001790
아이디스,전기 및 전자기기,보안장비,40 ,-13 ,34 ,A143160
HDC아이콘트롤스,건설 및 건축자재,홈네트워크,40 ,28 ,23 ,A039570
코스맥스비티아이,식음료,식료품,40 ,-147 ,13 ,A044820
대한뉴팜,제약 및 바이오,제약,40 ,-162 ,-12 ,A054670
아진산업,자동차 및 관련부품,차체부품,40 ,-31 ,0 ,A013310
방림,섬유 및 의류,섬유,40 ,-2 ,15 ,A003610
인터로조,의료기기 및 용품,의료용품,41 ,-12 ,24 ,A119610
케이아이엔엑스,IT서비스,인터넷서비스,41 ,33 ,32 ,A093320
도화엔지니어링,건설 및 건축자재,중견건설사,41 ,63 ,9 ,A002150
우주일렉트로,IT 장비 및 소재,스마트폰 부품,41 ,62 ,39 ,A065680
동남합성,화학,계면활성제,41 ,10 ,26 ,A023450
태경케미컬,화학,기타 화학,41 ,23 ,16 ,A006890
옵트론텍,IT 장비 및 소재,카메라모듈,41 ,-152 ,36 ,A082210
범양건영,건설 및 건축자재,중견건설사,41 ,60 ,21 ,A002410
비엠티,기계,피팅 및 밸브,41 ,-31 ,21 ,A086670
DSR,철강 및 비철강,스테인리스,41 ,17 ,19 ,A155660
동양피스톤,자동차 및 관련부품,기타 자동차부품,41 ,-64 ,11 ,A092780
동양,건설 및 건축자재,시멘트 및 레미콘,42 ,-269 ,-3 ,A001520
디지털대성,일반서비스,교육,42 ,-7 ,54 ,A068930
베노홀딩스,미디어 및 엔터,게임,42 ,51 ,-120 ,A206400
세원정공,자동차 및 관련부품,차체부품,42 ,83 ,68 ,A021820
태양금속,자동차 및 관련부품,선재(볼트),42 ,-179 ,80 ,A004100
유비쿼스홀딩스,지주사,지주사,43 ,14 ,34 ,A078070
에이치피오,식음료,식료품,43 ,0 ,0 ,A357230
아이에이,자동차 및 관련부품,전장부품,43 ,36 ,33 ,A038880
이랜텍,IT 장비 및 소재,스마트폰 부품,43 ,-121 ,102 ,A054210
시그네틱스,반도체 관련장비 및 부품,반도체장비,43 ,-227 ,-41 ,A033170
조선선재,철강 및 비철강,봉형강,43 ,3 ,15 ,A120030
이구산업,철강 및 비철강,구리,43 ,26 ,8 ,A025820
대현,섬유 및 의류,의류,43 ,30 ,29 ,A016090
비케이탑스,IT서비스,시스템서비스,43 ,-339 ,-14 ,A030790
한양디지텍,반도체 관련장비 및 부품,반도체 제조,43 ,-3 ,12 ,A078350
화승엔터프라이즈,섬유 및 의류,신발,44 ,226 ,46 ,A241590
조광피혁,섬유 및 의류,피혁(가죽),44 ,23 ,107 ,A004700
코스모화학,IT 장비 및 소재,2차전지,44 ,-161 ,-26 ,A005420
SV인베스트먼트,금융,기타 금융,44 ,34 ,5 ,A289080
NI스틸,철강 및 비철강,제강,44 ,46 ,26 ,A008260
에이리츠,일반서비스,부동산,44 ,2 ,2 ,A140910
한올바이오파마,제약 및 바이오,제약,45 ,63 ,37 ,A009420
하나제약,제약 및 바이오,제약,45 ,-42 ,83 ,A293480
대덕,지주사,지주사,45 ,152 ,801 ,A008060
테이팩스,화학,기타 화학,45 ,24 ,44 ,A055490
하이록코리아,기계,피팅 및 밸브,45 ,-40 ,14 ,A013030
팜스토리,식음료,사료,45 ,180 ,40 ,A027710
유수홀딩스,지주사,지주사,45 ,734 ,-1 ,A000700
제이씨현시스템,전기 및 전자기기,전자기기,45 ,45 ,26 ,A033320
KC코트렐,기계,플랜트설비,45 ,-496 ,-54 ,A119650
