회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
큐브앤컴퍼니,제약 및 바이오,원료의약품,-14 ,-43 ,5 ,A043090
스킨앤스킨,디스플레이 장비 및 부품,디스플레이 부품,-14 ,-282 ,0 ,A159910
하이소닉,IT 장비 및 소재,카메라모듈,-14 ,-33 ,-5 ,A106080
지엘팜텍,제약 및 바이오,제약,-14 ,-8 ,-7 ,A204840
UCI,가정용품,화장품,-14 ,-84 ,-13 ,A038340
제일약품,제약 및 바이오,제약,-13 ,3 ,4 ,A271980
피플바이오,의료기기 및 용품,의료기기,-13 ,0 ,0 ,A304840
아나패스,디스플레이 장비 및 부품,디스플레이 부품,-13 ,-362 ,6 ,A123860
에이치엔티,IT 장비 및 소재,스마트폰 부품,-13 ,-82 ,-51 ,A176440
데이타솔루션,IT서비스,시스템서비스,-13 ,27 ,-1 ,A263800
한일진공,디스플레이 장비 및 부품,디스플레이 장비,-13 ,118 ,8 ,A123840
서남,에너지,태양광,-13 ,-13 ,-14 ,A294630
디자인,IT 장비 및 소재,스마트폰 부품,-13 ,-116 ,-10 ,A227100
COWON,전기 및 전자기기,전자기기,-13 ,8 ,-1 ,A056000
에이엔피,자동차 및 관련부품,차량 시트,-13 ,-158 ,-4 ,A015260
현진소재,조선,조선기자재,-13 ,-16 ,111 ,A053660
메드팩토,제약 및 바이오,바이오,-12 ,-80 ,-82 ,A235980
나이벡,의료기기 및 용품,의료용품,-12 ,-22 ,-8 ,A138610
옵티팜,제약 및 바이오,바이오,-12 ,-6 ,-6 ,A153710
코텍,레저산업,카지노,-12 ,-102 ,-33 ,A052330
이즈미디어,IT 장비 및 소재,스마트폰 부품,-12 ,-57 ,-70 ,A181340
조아제약,제약 및 바이오,제약,-12 ,-14 ,2 ,A034940
베뉴지,유통,백화점,-12 ,43 ,9 ,A019010
감성코퍼레이션,종이 및 용기,종이,-12 ,-8 ,-21 ,A036620
삼영이엔씨,조선,조선기자재,-12 ,-29 ,0 ,A065570
디엔에이링크,의료기기 및 용품,진단기기,-12 ,-68 ,-25 ,A127120
바른손,미디어 및 엔터,영화,-12 ,-77 ,-13 ,A018700
이노테라피,의료기기 및 용품,의료용품,-12 ,-2 ,-10 ,A246960
알에프세미,IT 장비 및 소재,스마트폰 부품,-12 ,-114 ,-39 ,A096610
네이블,IT서비스,보안서비스,-12 ,25 ,-1 ,A153460
일정실업,자동차 및 관련부품,차량 시트,-12 ,-67 ,53 ,A008500
에스앤더블류,조선,조선기자재,-12 ,23 ,-8 ,A103230
아리온,가정용품,셋톱박스,-12 ,-123 ,-78 ,A058220
IHQ,미디어 및 엔터,매니지먼트,-11 ,-113 ,-12 ,A003560
클리노믹스,제약 및 바이오,바이오,-11 ,0 ,0 ,A352770
아이씨케이,전기 및 전자기기,스마트카드,-11 ,12 ,-24 ,A068940
아이티센,IT서비스,시스템서비스,-11 ,42 ,40 ,A124500
서전기전,기계,전력기자재,-11 ,55 ,-2 ,A189860
영림원소프트랩,IT서비스,소프트웨어,-11 ,19 ,20 ,A060850
알티캐스트,IT서비스,소프트웨어,-11 ,-51 ,11 ,A085810
우진비앤지,제약 및 바이오,동물용의약품,-11 ,-22 ,14 ,A018620
뉴프렉스,IT 장비 및 소재,PCB,-11 ,-42 ,22 ,A085670
아스타,의료기기 및 용품,진단기기,-11 ,-54 ,-31 ,A246720
유테크,IT 장비 및 소재,스마트폰 부품,-11 ,-65 ,0 ,A178780
뉴보텍,건설 및 건축자재,건축자재,-11 ,-39 ,-5 ,A060260
세동,자동차 및 관련부품,기타 자동차부품,-11 ,27 ,-13 ,A053060
프레스티지바이오로직스,제약 및 바이오,바이오,-10 ,-183 ,-38 ,A334970
잇츠한불,가정용품,화장품,-10 ,-34 ,-65 ,A226320
대교,일반서비스,교육,-10 ,3 ,-45 ,A019680
제넨바이오,IT 장비 및 소재,스마트폰 부품,-10 ,-83 ,-42 ,A072520
보성파워텍,기계,전력기자재,-10 ,0 ,-7 ,A006910
태웅,에너지,풍력,-10 ,"-1,014 ",43 ,A044490
현대약품,제약 및 바이오,제약,-10 ,0 ,-9 ,A004310
프리시젼바이오,의료기기 및 용품,진단기기,-10 ,4 ,0 ,A335810
토니모리,가정용품,화장품,-10 ,-113 ,-39 ,A214420
에쎈테크,기계,피팅 및 밸브,-10 ,-4 ,-3 ,A043340
제이준코스메틱,가정용품,화장품,-10 ,-85 ,-61 ,A025620
재영솔루텍,IT 장비 및 소재,카메라모듈,-10 ,-61 ,-7 ,A049630
픽셀플러스,반도체 관련장비 및 부품,반도체 설계,-10 ,17 ,4 ,A087600
유엔젤,IT서비스,시스템서비스,-10 ,22 ,-3 ,A072130
베셀,디스플레이 장비 및 부품,디스플레이 장비,-10 ,-19 ,26 ,A177350
자비스,기계,기계,-10 ,-49 ,-6 ,A254120
제이웨이,미디어 및 엔터,미디어,-10 ,-93 ,-15 ,A058420
지스마트글로벌,건설 및 건축자재,유리,-10 ,-802 ,-14 ,A114570
SNK,미디어 및 엔터,게임,-9 ,-47 ,94 ,A950180
텔레칩스,반도체 관련장비 및 부품,반도체 설계,-9 ,-18 ,-19 ,A054450
코스맥스엔비티,식음료,식료품,-9 ,-55 ,-11 ,A222040
제노포커스,제약 및 바이오,바이오,-9 ,-93 ,-20 ,A187420
부방,가정용품,가전제품,-9 ,-23 ,6 ,A014470
압타머사이언스,제약 및 바이오,바이오,-9 ,-8 ,-10 ,A291650
와이더플래닛,IT서비스,시스템서비스,-9 ,0 ,-11 ,A321820
동아엘텍,디스플레이 장비 및 부품,디스플레이 장비,-9 ,10 ,26 ,A088130
휴먼엔,철강 및 비철강,철강소재,-9 ,-331 ,-12 ,A032860
한송네오텍,디스플레이 장비 및 부품,디스플레이 부품,-9 ,9 ,-1 ,A226440
메타랩스,섬유 및 의류,의류,-9 ,-142 ,5 ,A090370
지유온,유통,전자상거래,-9 ,10 ,-24 ,A111820
대림통상,건설 및 건축자재,위생도기,-9 ,-86 ,-32 ,A006570
지란지교시큐리티,IT서비스,소프트웨어,-9 ,13 ,-3 ,A208350
전진바이오팜,제약 및 바이오,제약,-9 ,-15 ,-6 ,A110020
육일씨엔에쓰,IT 장비 및 소재,스마트폰 부품,-9 ,-184 ,20 ,A191410
코리아에스이,건설 및 건축자재,건축자재,-9 ,-24 ,-2 ,A101670
디엠티,가정용품,셋톱박스,-9 ,-6 ,-17 ,A134580
씨케이에이치,식음료,식료품,-9 ,-19 ,11 ,A900120
코센,철강 및 비철강,스테인리스,-9 ,-26 ,-36 ,A009730
일야,IT 장비 및 소재,스마트폰 부품,-9 ,-9 ,-14 ,A058450
박셀바이오,제약 및 바이오,바이오,-8 ,-11 ,-9 ,A323990
씨이랩,IT서비스,시스템서비스,-8 ,15 ,4 ,A189330
SDN,에너지,태양광,-8 ,32 ,6 ,A099220
윌비스,섬유 및 의류,의류,-8 ,15 ,9 ,A008600
이니텍,IT서비스,보안서비스,-8 ,7 ,9 ,A053350
마이크로디지탈,의료기기 및 용품,진단기기,-8 ,-68 ,-14 ,A305090
고려시멘트,건설 및 건축자재,시멘트 및 레미콘,-8 ,19 ,21 ,A198440
에스코넥,IT 장비 및 소재,스마트폰 부품,-8 ,-190 ,-55 ,A096630
네온테크,반도체 관련장비 및 부품,반도체 부품,-8 ,-1 ,-10 ,A306620
모베이스전자,자동차 및 관련부품,전장부품,-8 ,-95 ,-16 ,A012860
신신제약,제약 및 바이오,제약,-8 ,-15 ,21 ,A002800
네오셈,반도체 관련장비 및 부품,반도체장비,-8 ,-7 ,31 ,A253590
휘닉스소재,IT 장비 및 소재,2차전지,-8 ,-31 ,-6 ,A050090
조광페인트,건설 및 건축자재,페인트,-8 ,-56 ,78 ,A004910
라닉스,통신,통신장비,-8 ,-11 ,-1 ,A317120
현대사료,식음료,사료,-8 ,11 ,-20 ,A016790
KBI메탈,전기 및 전자기기,케이블,-8 ,-40 ,29 ,A024840
바이온,화학,기타 화학,-8 ,-18 ,1 ,A032980
애니젠,제약 및 바이오,바이오,-8 ,-2 ,-6 ,A196300
코드네이처,건설 및 건축자재,중견건설사,-8 ,-20 ,-2 ,A078940
모헨즈,건설 및 건축자재,시멘트 및 레미콘,-8 ,1 ,-1 ,A006920
동일철강,철강 및 비철강,봉형강,-8 ,-38 ,-13 ,A023790
로스웰,자동차 및 관련부품,전장부품,-8 ,-524 ,-4 ,A900260
드래곤플라이,미디어 및 엔터,게임,-8 ,-59 ,-8 ,A030350
인터엠,전기 및 전자기기,전자기기,-8 ,-12 ,-56 ,A017250
아이톡시,미디어 및 엔터,게임,-8 ,2 ,-1 ,A052770
코너스톤네트웍스,일반서비스,교육,-8 ,4 ,-19 ,A033110
유니슨,에너지,풍력,-7 ,-88 ,-81 ,A018000
대한그린파워,석유 및 가스,석유판매,-7 ,-142 ,-16 ,A060900
테라젠이텍스,제약 및 바이오,제약,-7 ,-24 ,-11 ,A066700
동성제약,제약 및 바이오,제약,-7 ,-65 ,-25 ,A002210
선익시스템,디스플레이 장비 및 부품,디스플레이 부품,-7 ,9 ,6 ,A171090
쎄미시스코,디스플레이 장비 및 부품,디스플레이 장비,-7 ,-38 ,-21 ,A136510
이엠코리아,기계,공작기계,-7 ,78 ,-64 ,A095190
오픈베이스,IT서비스,시스템서비스,-7 ,44 ,-4 ,A049480
한세엠케이,섬유 및 의류,의류,-7 ,-140 ,-11 ,A069640
